Metin,Durum,temiz_yorum,tahmin,dogru_mu
hiç dusunmeden alın derim jilet gibi kesiyor,1,dusunmeden alın derim jilet kesiyor,1,True
Ürün anlatıldığı gibi Hızlı kargo,1,ürün anlatıldığı hızlı kargo,1,True
"ürünü beğendim ve tekrar sipariş verdim. paketleme daha korunakli olmali,kargo poşedi yeterli degil bence.",1,ürünü beğendim tekrar sipariş verdim paketleme korunakli olmalikargo poşedi yeterli degil bence,1,True
baya iyi çok memnun kaldım,1,baya iyi memnun kaldım,1,True
Ürün anlatıldığı gibi bu fiyata bundan iyisini bulamazsın.. marka takıntısı olan yoksa bu ürün çok idaal... sakalları sıfıra yakın kesiyor...,1,ürün anlatıldığı fiyata bundan iyisini bulamazsın marka takıntısı olan yoksa ürün idaal sakalları sıfıra yakın kesiyor,1,True
"güzel ürün f/p canavarı, dayanıklı çıkar umarım, teşekkürler",1,güzel ürün fp canavarı dayanıklı çıkar umarım teşekkürler,1,True
"Aynı gün kargoya verildi 1 gün sonra sabah elime ulaştı paketleme güzel, şarj standı sorunsuz çalışıyor usb ile de şarj oluyor kesimi gayet başarılı tavsiye ederim.",1,aynı gün kargoya verildi 1 gün sonra sabah elime ulaştı paketleme güzel şarj standı sorunsuz çalışıyor usb şarj oluyor kesimi gayet başarılı tavsiye ederim,1,True
"İlk önce tereddüt ettim ama iyiki almışım alalı 3 ay oldu 20 defa olmuştur sakal tıraşı oluyorum ,hiç şarja bağlamadan 20 ye yakın tıraş yaptı doldurunca nekadar gider Allah bilir. Bıçaklar çok kaliteli çekme koparma yapmıyor makina hızlı ve jiletin bir tık üstü kesiyor, Sessiz ve t bıçağı çok kullanışlı sakal ense için bire bir tavsiye ederim....",1,ilk önce tereddüt ettim iyiki almışım alalı 3 ay oldu 20 olmuştur sakal tıraşı oluyorum şarja bağlamadan 20 ye yakın tıraş yaptı doldurunca nekadar gider allah bilir bıçaklar kaliteli çekme koparma yapmıyor makina hızlı jiletin bir tık üstü kesiyor sessiz t bıçağı kullanışlı sakal ense bire bir tavsiye ederim,1,True
"Sakal için ideal, saç için kullanmıyorum. Philips makinalar para tuzağı.",1,sakal ideal saç kullanmıyorum philips makinalar para tuzağı,1,True
Ürün güzel beğendim,1,ürün güzel beğendim,1,True
Merhabalar ürün anlatıldığı gibi geldi.Eksiksiz ve gayet şık.Daha kullanmadim.Ancak almadan önce arastirmistim.Ona göre sipariş verdim.,1,merhabalar ürün anlatıldığı geldieksiksiz gayet şıkdaha kullanmadimancak almadan önce arastirmistimona göre sipariş verdim,1,True
ürün fiyatina gore guzel bekledigimden guzel ??,1,ürün fiyatina gore guzel bekledigimden guzel,1,True
hızlı ve özenli kargo teşekkürler.,1,hızlı özenli kargo teşekkürler,1,True
urun gelmiyor 10 gundur bekliyoz magaza iletisim sifir siparis tamamlandi diyor urun gelmiyor dolandirildik,0,urun gelmiyor 10 gundur bekliyoz magaza iletisim sifir siparis tamamlandi diyor urun gelmiyor dolandirildik,0,True
urun cok guzel bekledigim gibi geldi cok memnun kaldim super bi urun.,1,urun cok guzel bekledigim geldi cok memnun kaldim super bi urun,1,True
Ürün anlatıldığı gibi mağaza yorumları korkutmuştu fakat ürün 2 günde elime ulaştı herhangi bir problem yok,1,ürün anlatıldığı mağaza yorumları korkutmuştu fakat ürün 2 günde elime ulaştı herhangi bir problem yok,1,True
Ürünler kaliteli teşekkürler,1,ürünler kaliteli teşekkürler,1,True
Çok beğendim çocukların saçlarını rahatlıkla kesebiliyorum tam istediğim gibi,1,beğendim çocukların saçlarını rahatlıkla kesebiliyorum tam istediğim,1,True
Ürün şık ve kullanışlı,1,ürün şık kullanışlı,1,True
urun cok guzel siddetle tavsiye ederim 2 adet aldim,1,urun cok guzel siddetle tavsiye ederim 2 adet aldim,1,True
güzel ürün tavsiye ederim,1,güzel ürün tavsiye ederim,1,True
ÜRÜN GAYET KULLANIŞLI UMARIM UZUN ÖMÜRLÜ OLUR TEŞEKKÜRLER,1,ürün gayet kullanişli umarim uzun ömürlü olur teşekkürler,1,True
bu makineden ikinci alışım gayet iyi bir makina. sakal için öneririm. magazadan da 4. makina alışım . olumsuz birşeyle karşılaşmadım,1,makineden ikinci alışım gayet iyi bir makina sakal öneririm magazadan 4 makina alışım olumsuz birşeyle karşılaşmadım,1,True
hızlı satıcı problem yok,1,hızlı satıcı problem yok,1,True
"Birçok traş makinesi kullandım. Gerçekten kullanışlı ve güzel bir ürün yapmışlar, çok beğendim. Ürünlere pek yorum yapmam ama bu ürünü kullandıktan sonra kendimi bir anlamda mecbur hissettim :",1,birçok traş makinesi kullandım gerçekten kullanışlı güzel bir ürün yapmışlar beğendim ürünlere pek yorum yapmam ürünü kullandıktan sonra kendimi bir anlamda mecbur hissettim,1,True
Olay budur. Boş yere diğer markalara para vermeyin. Tıraş sadece 2 dk sürdü. Oldukça sessiz.,1,olay budur boş yere diğer markalara para vermeyin tıraş sadece 2 dk sürdü oldukça sessiz,1,True
Ürün kullanışlı ve kesimi güzel parasinin hakkini veriyor,1,ürün kullanışlı kesimi güzel parasinin hakkini veriyor,1,True
Makine oldukça kaliteli. Sakal için rahatlıkla kullanıyorum. Tavsiye ederim.,1,makine oldukça kaliteli sakal rahatlıkla kullanıyorum tavsiye ederim,1,True
hasarlı gelgi geri yolladım kullanmadık ,0,hasarlı gelgi geri yolladım kullanmadık,0,True
"Ürün 3-4 ay kadar dayanabildi sonrası hüsran, parasını çıkardı mı evet. Ama beklentiniz yüksek olmasın. Hem saç hem sakal traşı için kullanıldı. Ama belirli bir süre sonra kesim yaparken boğulmaya başladı ve kesememeye başladı.",0,ürün 34 ay kadar dayanabildi sonrası hüsran parasını çıkardı evet beklentiniz yüksek olmasın saç sakal traşı kullanıldı belirli bir süre sonra kesim yaparken boğulmaya başladı kesememeye başladı,0,True
Ürün paketsiz şekilde geldi evime gelmedi kendim gittim aldım sanki kullanılmış gibiydi öyle geldi bana emin değilim ama ürün çalışıyor sorun yok,0,ürün paketsiz şekilde geldi evime gelmedi kendim gittim aldım kullanılmış gibiydi öyle geldi bana emin değilim ürün çalışıyor sorun yok,0,True
Fiyat performans ürünü,1,fiyat performans ürünü,1,True
efsane bir ürün sakal ve ense çizim için ideal saç için farklı ürünlere bakın kirli sakal ve bir numara için,1,efsane bir ürün sakal ense çizim ideal saç farklı ürünlere bakın kirli sakal bir numara,1,True
"Ürünü çok beğendim güzel kesiyor, bu kadar beklemiyordum. Gayet başarılı. Fiyatta uygun. Şuan için güzel. Gelecekte ne olur bilemem. Fiyata göre çok iyi.",1,ürünü beğendim güzel kesiyor kadar beklemiyordum gayet başarılı fiyatta uygun şuan güzel gelecekte olur bilemem fiyata göre iyi,1,True
ürün güzel tavsiye ederin sıfır kesim için aldım gayet iyi,1,ürün güzel tavsiye ederin sıfır kesim aldım gayet iyi,1,True
Gayet guzel goruntulu ve kaliteli urun.,1,gayet guzel goruntulu kaliteli urun,1,True
philipsin tras makinesini kullanıyordum. Bu ürün şarj ve bıçak olarak philips'ten daha kaliteli. bosuna 3 kati fazla ödeyip marka almayin. cok iyi kesiyor sıfıra yakın,1,philipsin tras makinesini kullanıyordum ürün şarj bıçak olarak philipsten kaliteli bosuna 3 kati fazla ödeyip marka almayin cok iyi kesiyor sıfıra yakın,1,True
103 liraya alincaj gzl kibar makina her ise yarar. Sac kesme harici her ise yarar sakal vs,1,103 liraya alincaj gzl kibar makina yarar sac kesme harici yarar sakal vs,1,True
süper kesiyor harika bı makina,1,süper kesiyor harika bı makina,1,True
"Ürünü sorunsuz teslim aldım. Sipariş vermeden önce mağaza ile ilgili olumsuz yorumlar korkutmuştu ama sorunsuz bir alışveriş oldu benim için. Makinenin bıçakları çok güçlü. Çekme, koparma yok. Fiyatına göre çok güzel bir makine. Mağaza faturayı mailime atmıştı. Teşekkürler.",1,ürünü sorunsuz teslim aldım sipariş vermeden önce mağaza ilgili olumsuz yorumlar korkutmuştu sorunsuz bir alışveriş oldu benim makinenin bıçakları güçlü çekme koparma yok fiyatına göre güzel bir makine mağaza faturayı mailime atmıştı teşekkürler,1,True
İlk defa bir ürüne yorum yapıyorum ürün beklediğimden harika çıktı hiç düşünmeden alabilirsiniz,1,ilk bir ürüne yorum yapıyorum ürün beklediğimden harika çıktı düşünmeden alabilirsiniz,1,True
2 yıldır kullanıyorum yedek olsun diye aldım isyerime,1,2 yıldır kullanıyorum yedek olsun aldım isyerime,1,True
ÜRÜN ÇOK KULLANIŞLI VE KALİTELİ TEŞEKKÜRLER.,1,ürün kullanişli kaliteli teşekkürler,1,True
"Daha oncede powertec kullanan biri olarak soylemeliyim ki, bu model bi efsane beylerr",1,oncede powertec kullanan olarak soylemeliyim model bi efsane beylerr,1,True
ürün çok şık fakat içi boş bir ürün. biraz daha bütçe zorlayıp iyi bir makine almanızı tavsiye ederim. sıfırı çok kötü,0,ürün şık fakat içi boş bir ürün biraz bütçe zorlayıp iyi bir makine almanızı tavsiye ederim sıfırı kötü,1,False
Ürün gelmedi ki beğenelim,0,ürün gelmedi beğenelim,0,True
emsallerine göre fiyatı düşük olunca bi çekinceyle aldım ama gerçekten kaliteli ve kullanışlı. 5 yıldızı sonuna kdar hakediyor. mağaza hızı da cok iyi,1,emsallerine göre fiyatı düşük olunca bi çekinceyle aldım gerçekten kaliteli kullanışlı 5 yıldızı sonuna kdar hakediyor mağaza hızı cok iyi,1,True
iyi ürün teşekkürler parasına göre iyi ürün umarım çabuk bozulmaz,1,iyi ürün teşekkürler parasına göre iyi ürün umarım çabuk bozulmaz,1,True
Ürün güzel bu paraya bu kalite performans ama makine ilk. Geldiginde kendi yüzümde denedim kuaförüm diş çiziyordu ayarladım ürün parasına göre çok iyi güçlü,1,ürün güzel paraya kalite performans makine ilk geldiginde kendi yüzümde denedim kuaförüm diş çiziyordu ayarladım ürün parasına göre iyi güçlü,1,True
Güzel ve kaliteli ürün tavsiye ederim,1,güzel kaliteli ürün tavsiye ederim,1,True
ürün parasına göre çok iyi,1,ürün parasına göre iyi,1,True
Evet çok güzel bir makina,1,evet güzel bir makina,1,True
Eşime aldım. Çok beğendi. Saçını da sakalını da şekillendiriyor. Gayet kullanışlı,1,eşime aldım beğendi saçını sakalını şekillendiriyor gayet kullanışlı,1,True
Ürün başarılı tafsiye ederim,1,ürün başarılı tafsiye ederim,1,True
Güzel ürün tavsiye ederim,1,güzel ürün tavsiye ederim,1,True
teşekkürler güvenilir mağaza,1,teşekkürler güvenilir mağaza,1,True
Güzel ürün Harika satıcı,1,güzel ürün harika satıcı,1,True
daha tam olarak kullanmadım ancak beklediğim gibi,1,tam olarak kullanmadım ancak beklediğim,1,True
"Hızlı kargo, kaliteli ürün. Kedi ve köpek traşı için aldım. Kıt olan yerleri T uç sayesinde daha kolay kesebiliyorum.",1,hızlı kargo kaliteli ürün kedi köpek traşı aldım kıt olan yerleri t uç sayesinde kolay kesebiliyorum,1,True
guzel hic bir sorunu yok,1,guzel hic bir sorunu yok,0,False
kaliteli kesinlikle tavsiye ederim,1,kaliteli kesinlikle tavsiye ederim,1,True
Urun tamamen fiyat performans urunu. Piyasada daha iyi oldugunu sanmam. Highly recommended!!,1,urun tamamen fiyat performans urunu piyasada iyi oldugunu sanmam highly recommended,1,True
Ürün gerçekten harika kuoförümde gördüm ve tafsiyesi üzerine aldım.kullandım harika ve KUSURSUZ.??,1,ürün gerçekten harika kuoförümde gördüm tafsiyesi üzerine aldımkullandım harika kusursuz,1,True
makine güzel kullanışlı,1,makine güzel kullanışlı,1,True
Ürün güzel ürün hakkında bir şikayetim yok,1,ürün güzel ürün hakkında bir şikayetim yok,1,True
ürün anlatıldığı gibi. teşekkür ederim.,1,ürün anlatıldığı teşekkür ederim,1,True
Berberimin tavsiyesi ile aldım çok beğendim tavsiye ederim bundan evvel aldıklarımın çok üstünde bir makina,1,berberimin tavsiyesi aldım beğendim tavsiye ederim bundan evvel aldıklarımın üstünde bir makina,1,True
evet çok beğendim,1,evet beğendim,1,True
"Ne yalan söyleyeyim, bu kadar iyi bekle miyordum.",1,yalan söyleyeyim kadar iyi bekle miyordum,1,True
Cok guzel kullandim. Bu fiyata alınabilecek en iyilerden. Bilader e de sipariş verecem.,1,cok guzel kullandim fiyata alınabilecek iyilerden bilader e sipariş verecem,1,True
Ürün yaklaşık 20 saatte elime ulaştı. Beklediğimden daha pratik ve daha güçlü çıktı. Tam bir fiyat performans ürünü.,1,ürün yaklaşık 20 saatte elime ulaştı beklediğimden pratik güçlü çıktı tam bir fiyat performans ürünü,1,True
üründeki 3mm tarağı bildiğimiz 3 numaralı traş diye aldım. meğer 0 ile 1 arasında bişeymiş. bir defa neme kesimi yaptığım için iade yada değişim olmuyormuş. boşa almış oldum çöpe para attık.,0,üründeki 3mm tarağı bildiğimiz 3 numaralı traş aldım meğer 0 1 arasında bişeymiş bir neme kesimi yaptığım iade yada değişim olmuyormuş boşa almış oldum çöpe para attık,0,True
Bana göre süper üç adet aldım,1,bana göre süper üç adet aldım,1,True
Ürünü begendim ve teşekkür ederim,1,ürünü begendim teşekkür ederim,1,True
evet beğendim güzel,1,evet beğendim güzel,1,True
Evet harıka ürün sıfır sakal taşı yapıyo,1,evet harıka ürün sıfır sakal taşı yapıyo,1,True
Hayır beğenmedim,0,hayır beğenmedim,0,True
Başarılı makine düşünmeden alınabilir,1,başarılı makine düşünmeden alınabilir,1,True
n11.com üyesi 01.10.2020 Bozuk ve dezenforme olmuş ürün geldi ve iade alınmadı Bu arkadaşın yaşadıklarını aynısını bende yaşadım ve aynı şekilde sonucladı tek farkı bana BERBER mısın dıye sorulması ıdı MUMKUNSE BU FIRMADAN alışveriş YAPMAYIN muhakkak ayı olayı sizde yaşayacaksınız bu konuda eminim,0,n11com üyesi 01102020 bozuk dezenforme olmuş ürün geldi iade alınmadı arkadaşın yaşadıklarını aynısını bende yaşadım aynı şekilde sonucladı tek farkı bana berber mısın dıye sorulması ıdı mumkunse firmadan alışveriş yapmayin muhakkak ayı olayı sizde yaşayacaksınız konuda eminim,0,True
kullanışlı memnun Kaldım,1,kullanışlı memnun kaldım,1,True
Hayır b3?enmedim .Rezillik,0,hayır b3enmedim rezillik,0,True
Çok seri bir cihaz. Fiyatına göre çok iyi,1,seri bir cihaz fiyatına göre iyi,1,True
Evet şık tasarım ve tatminkâr markayı zaten biliyordum saç tıraşı Makinesi vardı zaten ince dişte powertec tr658 ile tamamlandı tavsiye ederim,1,evet şık tasarım tatminkr markayı zaten biliyordum saç tıraşı makinesi vardı zaten ince dişte powertec tr658 tamamlandı tavsiye ederim,1,True
"ürün çok güzel, temizlemesi gayet kolay, çok memnun kaldım",1,ürün güzel temizlemesi gayet kolay memnun kaldım,1,True
Aldığım ürün şarj almıyordu ve üzerinde dezenformasyon vardı. Ona rağmen açıldığını bahane ederek iade almadılar ve teknik servise yönlendirdiler. Yeni alınmış bir ürün çalışmadığında ve üstüne üstlük üründe dezenformasyon olmasına rağmen niye teknik servise gitmekle uğraşıyorum anlamadım. Gönderdiğim ürünü de kabul almayıp tekrar bana gönderdiler ve kargo ücretini ben ödemek durumunda kaldım. N11 sağolsun itiraz ettiğimde aynı miktarda kupon vererek zararımı kapattı.,0,aldığım ürün şarj almıyordu üzerinde dezenformasyon vardı ona rağmen açıldığını bahane ederek iade almadılar teknik servise yönlendirdiler yeni alınmış bir ürün çalışmadığında üstüne üstlük üründe dezenformasyon olmasına rağmen teknik servise gitmekle uğraşıyorum anlamadım gönderdiğim ürünü kabul almayıp tekrar bana gönderdiler kargo ücretini ben ödemek durumunda kaldım n11 sağolsun itiraz ettiğimde aynı miktarda kupon vererek zararımı kapattı,0,True
Güzel ürün düşünmeden alın,1,güzel ürün düşünmeden alın,1,True
urunu kullanmadim ama elime ulasti cok guzel gozukuyor . urun Orta boydadir.,1,urunu kullanmadim elime ulasti cok guzel gozukuyor urun orta boydadir,1,True
Ürünü çok beğendim,1,ürünü beğendim,1,True
Fiyatına göre oldukça güzel bir ürün. Kesinlikle tavsiye ediyorum. Paketleme ve kargo iyiydi.,1,fiyatına göre oldukça güzel bir ürün kesinlikle tavsiye ediyorum paketleme kargo iyiydi,1,True
Gramajı ağırlığı kaliteli duruyor ..memnun kaldım ..işimi gayet güzel görüyor ...,1,gramajı ağırlığı kaliteli duruyor memnun kaldım işimi gayet güzel görüyor,1,True
çok güzel birebir aynı ürün güçlü motoru var dükkanım için aldım gayet güzel ve sağlam bir ürün,1,güzel birebir aynı ürün güçlü motoru var dükkanım aldım gayet güzel sağlam bir ürün,1,True
Ben ürünü traş olduğum berberde görüp almıştım. Gayet sağlam ve kaliteli gibi duruyor. Fiyatına göre çok iyi olduğunu söyleyebilirim,1,ben ürünü traş olduğum berberde görüp almıştım gayet sağlam kaliteli duruyor fiyatına göre iyi olduğunu söyleyebilirim,1,True
kullandigim üründü 3 arkadaşıma daha aldım herkez memnun tesekkurler,1,kullandigim üründü 3 arkadaşıma aldım herkez memnun tesekkurler,1,True
"Samsung şarj cihazı bile oluyor, hem kablolu hem kablosuz jilet gibi, oldukça güzel ve güçlü.",1,samsung şarj cihazı bile oluyor kablolu kablosuz jilet oldukça güzel güçlü,1,True
Parasını hak eden ürün. Fiyat performans harika,1,parasını hak eden ürün fiyat performans harika,1,True
Ürünü daha öncede kullandım sert sakallar için birebir uyumlu ve güzel,1,ürünü öncede kullandım sert sakallar birebir uyumlu güzel,1,True
Ürün güzel tavsiye ederim,1,ürün güzel tavsiye ederim,1,True
fiyat performans kıstasına göre gönül rahatlığıyla alabilirsiniz.,1,fiyat performans kıstasına göre gönül rahatlığıyla alabilirsiniz,1,True
Ürün hakkını fazlasıyla veriyor. İnce işler için süper bir makina,1,ürün hakkını fazlasıyla veriyor ince işler süper bir makina,1,True
Gerçekten ürün çok kaliteli... Almak isteyenlere tavsiye ederim.,1,gerçekten ürün kaliteli almak isteyenlere tavsiye ederim,1,True
Gönül rahatlığıyla alın kullanın,1,gönül rahatlığıyla alın kullanın,1,True
ürün güzel kullanışlı beğendim geldiği gibi kullandım,1,ürün güzel kullanışlı beğendim geldiği kullandım,1,True
braoun marka bir tane vardı taraksız kesince almıyordu farklı uzunluk gibi bırakıyordu bu resmen 1 günlük sakal gibi alıyor fena kesiyor ama benim gibi beceriksizseniz ve ilk kez deniyorsanız yani daha önce böyle kullanan birisi 3 dk da keserse ben 7 dk kesiyorum böyle oluncada makina ısınıyor demiri fena rahatsız ediyor ama eli alışık olanlar ısınmadan şak şak keser diye düşünüyorum ısınması kötü kesimi motoru falan güçlü. ben kışın kullanmak için sakalım sert olduğu için duşta yumuşat yarı çıplak traş ol üşütmr tehlikesi olmaması için duşa girmeden kesicem duşumu alıp çıkıcam. yani pişman olmadım alınır güzel cihaz.,0,braoun marka bir tane vardı taraksız kesince almıyordu farklı uzunluk bırakıyordu resmen 1 günlük sakal alıyor fena kesiyor benim beceriksizseniz ilk deniyorsanız önce böyle kullanan birisi 3 dk keserse ben 7 dk kesiyorum böyle oluncada makina ısınıyor demiri fena rahatsız ediyor eli alışık olanlar ısınmadan şak şak keser düşünüyorum ısınması kötü kesimi motoru falan güçlü ben kışın kullanmak sakalım sert olduğu duşta yumuşat yarı çıplak traş ol üşütmr tehlikesi olmaması duşa girmeden kesicem duşumu alıp çıkıcam pişman olmadım alınır güzel cihaz,0,True
Harika bir makina çok güzel kesiyor. Kasası oldukça sağlam ben çok beğendim vallahi,1,harika bir makina güzel kesiyor kasası oldukça sağlam ben beğendim vallahi,1,True
ürün anlattığı gibi herkese tavsiye ederim...,1,ürün anlattığı herkese tavsiye ederim,1,True
Ürünü beğendim herhangibir sıkıntı yok tam istediğim gibiydi teşekkürler,1,ürünü beğendim herhangibir sıkıntı yok tam istediğim gibiydi teşekkürler,1,True
"Başarılı ürün, fiyat/Performans ürünü",1,başarılı ürün fiyatperformans ürünü,1,True
gelir gelmez hemn actim şarjı vardı ürün güzel paketlenmis sıkıntısız çalışıyordu sakal tıraşı yaptım 0 kesimi çok güzel gönül rahatlığıyla alabilirsiniz,1,gelir gelmez hemn actim şarjı vardı ürün güzel paketlenmis sıkıntısız çalışıyordu sakal tıraşı yaptım 0 kesimi güzel gönül rahatlığıyla alabilirsiniz,1,True
"Gerçekten çok kaliteli bir tıraş makinesi. Hızlı kargo için de teşekkür ederim. İlgili bir satıcı, bu ikinci siparişim.",1,gerçekten kaliteli bir tıraş makinesi hızlı kargo teşekkür ederim ilgili bir satıcı ikinci siparişim,1,True
ürüne yapılan olumlu yorumlara bakarak aldım. ürün anlatıldığı gibiydi. gayet kullanışlı ve pratik. umarım uzun ömürlü olur.,1,ürüne yapılan olumlu yorumlara bakarak aldım ürün anlatıldığı gibiydi gayet kullanışlı pratik umarım uzun ömürlü olur,1,True
arkadaşlar alin,1,arkadaşlar alin,0,False
fiyatına göre maksimum verimli,1,fiyatına göre maksimum verimli,1,True
cok kaliteli buldum tavsiye ederim,1,cok kaliteli buldum tavsiye ederim,1,True
"çok ince ağız yapısı var, şarjı çok iyi. Braun var fiyat bunun rahat 3 katı ama şarj ve ağız bu makine yanında hiç. marka işte",1,ince ağız yapısı var şarjı iyi braun var fiyat bunun rahat 3 katı şarj ağız makine yanında marka işte,1,True
çok kaliteli herkes e tavsiye ederim,1,kaliteli herkes e tavsiye ederim,1,True
Traş makinası çok güzel gerçekten mükemmel 3.yü aldık,1,traş makinası güzel gerçekten mükemmel 3yü aldık,1,True
Makina çok şık güzel bir ürün tavsiye ederim,1,makina şık güzel bir ürün tavsiye ederim,1,True
2 adet aldık 1. 3 . 5 aydır bizde memnunduk. anlayın vorteil teşekkürler. 2. yeni aldık ondada sorun yok,1,2 adet aldık 1 3 5 aydır bizde memnunduk anlayın vorteil teşekkürler 2 yeni aldık ondada sorun yok,1,True
"Ürünü ikinci alışım, birini hediye olarak aldım, oda memnun kaldı. Sakal için özellikle çok güzel sıfıra yakın bir kesimi var. ama sinek kaydı derseniz hayır. Tarak kısmı dışındaki yerler plastik. fiyatına göre çok iyi. tavsiye ederim.",1,ürünü ikinci alışım birini hediye olarak aldım oda memnun kaldı sakal özellikle güzel sıfıra yakın bir kesimi var sinek kaydı derseniz hayır tarak kısmı dışındaki yerler plastik fiyatına göre iyi tavsiye ederim,1,True
Beğendim gayet güzel,1,beğendim gayet güzel,1,True
Evet beğendim alacak arkadaşlara tavsiye ediyorum,1,evet beğendim alacak arkadaşlara tavsiye ediyorum,1,True
"Ürün resimdeki gibi gayet güzel ele oturuyor, titreşim yok denecek kadar az, kesmesi süper , kıl yolma tahriş etme yok, tavsiye ediyorum alın kullanın ilk kullanımda çok memnun kaldım teşekkürler...",1,ürün resimdeki gayet güzel ele oturuyor titreşim yok denecek kadar kesmesi süper kıl yolma tahriş etme yok tavsiye ediyorum alın kullanın ilk kullanımda memnun kaldım teşekkürler,1,True
hem uygun hem kalite başka ne denilebilir ki?,1,uygun kalite başka denilebilir,1,True
ürün çok güzel ve kullanışlı iki adetyaldim.tavsiye ederim.,1,ürün güzel kullanışlı iki adetyaldimtavsiye ederim,1,True
Ürünü beğendim herkese gönül rahatlığı ile tavsiye ederim,1,ürünü beğendim herkese gönül rahatlığı tavsiye ederim,1,True
Çok güzel bir ürün. tavsiye ederim. çevremde kullananlar da memnun,1,güzel bir ürün tavsiye ederim çevremde kullananlar memnun,1,True
Çok kalitesiz kesiyor. Berbeelerdelki markasız ürünler bundan çok iyi. Kullanmıyorum duruyor öyle.,0,kalitesiz kesiyor berbeelerdelki markasız ürünler bundan iyi kullanmıyorum duruyor öyle,0,True
Vücut kılları ve sakallar için güzel bi ürün. Sarjı uzun gidiyor ve çabuk doluyor. Fiyat performans ürünü,1,vücut kılları sakallar güzel bi ürün sarjı uzun gidiyor çabuk doluyor fiyat performans ürünü,1,True
Hayır boynumu kesti,0,hayır boynumu kesti,0,True
çok güzel ve kaliteli ürün,1,güzel kaliteli ürün,1,True
Ürünü çok beğendim,1,ürünü beğendim,1,True
Güzel ürün Jet hızında teslimat Teşekkürler..,1,güzel ürün jet hızında teslimat teşekkürler,1,True
